COUNTY,Store #,BusinessName,CITY,Date Range,Calendar Date,Month,Year,Consumer Sales,Licensee Sales,Store Count,Total Sales
Douglas,1019,Liquor Locker,REEDSPORT,TRUE,9/1/2020,9,2020,84649.8,9602.45,1,94252.25
Douglas,1019,Liquor Locker,REEDSPORT,TRUE,12/1/2020,12,2020,89942.15,1508.35,1,91450.5
Lincoln,1022,O L C C AGENCY 22,NEWPORT,TRUE,9/1/2017,9,2017,250069.8,65463.2,1,315533
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,2/1/2017,2,2017,29459.35,4213.05,1,33672.4
Wallowa,1005,Enterprise Liquor Store,ENTERPRISE,TRUE,1/1/2018,1,2018,28444.03,2889.25,1,31333.28
Polk,1016,Dallas Liquor,DALLAS,TRUE,10/1/2017,10,2017,176788.72,21395.95,1,198184.67
Polk,1016,Dallas Liquor,DALLAS,TRUE,9/1/2018,9,2018,211965.58,23911.9,1,235877.48
Polk,1016,Dallas Liquor,DALLAS,TRUE,12/1/2018,12,2018,284344.65,20239.65,1,304584.3
Polk,1016,Dallas Liquor,DALLAS,TRUE,8/1/2019,8,2019,209698.25,23163.9,1,232862.15
Polk,1016,Dallas Liquor,DALLAS,TRUE,11/1/2019,11,2019,225663.16,16125.9,1,241789.06
Polk,1016,Dallas Liquor,DALLAS,TRUE,7/1/2020,7,2020,223714.75,17972.05,1,241686.8
Polk,1016,Dallas Liquor,DALLAS,TRUE,10/1/2020,10,2020,234086.48,18016.85,1,252103.33
Polk,1016,Dallas Liquor,DALLAS,TRUE,6/1/2021,6,2021,206756.95,15647.6,1,222404.55
Polk,1016,Dallas Liquor,DALLAS,TRUE,9/1/2021,9,2021,156846.15,11619.95,1,168466.1
Polk,1016,Dallas Liquor,DALLAS,TRUE,5/1/2022,5,2022,221794.38,12679.65,1,234474.03
Polk,1016,Dallas Liquor,DALLAS,TRUE,8/1/2022,8,2022,246638.05,7181.71,1,253819.76
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,12/1/2021,12,2021,820453.55,134009.95,1,954463.5
Multnomah,1025,Gresham Liquor Store #1025,GRESHAM,TRUE,11/1/2022,11,2022,513501.05,145785.1,1,659286.15
Jackson,1026,Eagle Point Liquor Store,EAGLE POINT,TRUE,9/1/2017,9,2017,145970.77,22330.9,1,168301.67
Jackson,1026,Eagle Point Liquor Store,EAGLE POINT,TRUE,12/1/2017,12,2017,224796.35,23104.05,1,247900.4
Jackson,1026,Eagle Point Liquor Store,EAGLE POINT,TRUE,8/1/2018,8,2018,162576.45,26337.05,1,188913.5
Jackson,1026,Eagle Point Liquor Store,EAGLE POINT,TRUE,11/1/2018,11,2018,175199.9,25644.55,1,200844.45
Jackson,1026,Eagle Point Liquor Store,EAGLE POINT,TRUE,7/1/2019,7,2019,174780.96,24850.5,1,199631.46
Jackson,1026,Eagle Point Liquor Store,EAGLE POINT,TRUE,10/1/2019,10,2019,183584.31,29158.6,1,212742.91
Jackson,1026,Eagle Point Liquor Store,EAGLE POINT,TRUE,6/1/2020,6,2020,215059.25,23868.8,1,238928.05
